"Credit Product Manager","Credit Product Manager"
"Add Credit Product","Add Credit Product"
"Credit Prices Settings","Credit Prices Settings"
" "," "
"Credit product let customers choose the price type they want.","Credit product let customers choose the price type they want."
"Type of Store Credit Value","Type of Store Credit Value"
"Credit Rate","Credit Rate"
"Store Credit Value","Store Credit Value"
"Store Credit Values","Store Credit Values"
"Minimum Store Credit value","Minimum Store Credit value"
"Maximum Store Credit value","Maximum Store Credit value"
ID,ID
Name,Name
"Name in %1","Name in %1"
SKU,SKU
Quantity,Quantity
Visibility,Visibility
Status,Status
Websites,Websites
Action,Action
Edit,Edit
"Notify Low Stock RSS","Notify Low Stock RSS"
CSV,CSV
XML,XML
Delete,Delete
"Are you sure?","Are you sure?"
"Change status","Change status"
"Credit Information","Credit Information"
"Current Credit Balance","Current Credit Balance"
"Add or subtract  a credit value","Add or subtract  a credit value"
"You can add or subtract an amount from customer’s balance by entering a number. For example, enter “99” to add $99 and “-99” to subtract $99","You can add or subtract an amount from customer’s balance by entering a number. For example, enter “99” to add $99 and “-99” to subtract $99"
Comment,Comment
"Send email to customer","Send email to customer"
"Transaction History","Transaction History"
"Store Credit","Store Credit"
"Type of Transaction","Type of Transaction"
"Transaction Detail","Transaction Detail"
"Added/ Subtracted","Added/ Subtracted"
"Credit Balance","Credit Balance"
"Transaction Time","Transaction Time"
"Manage Customers Using Credit","Manage Customers Using Credit"
Email,Email
Group,Group
Telephone,Telephone
ZIP,ZIP
Country,Country
State/Province,State/Province
"Customer Since","Customer Since"
Website,Website
"Excel XML","Excel XML"
"Used credit","Used credit"
"Received credit","Received credit"
"# Credit(%1)","# Credit(%1)"
"This report shows the <b>used Credit </b> and <b>reveived Credit</b> of Customer","This report shows the <b>used Credit </b> and <b>reveived Credit</b> of Customer"
"Credit Transactions","Credit Transactions"
Transaction_Id,Transaction_Id
"Transaction Type","Transaction Type"
Added/Deducted,Added/Deducted
"Customer Credit","Customer Credit"
"Credit Code","Credit Code"
"Recipient's Email","Recipient's Email"
Amount,Amount
"Sending Date","Sending Date"
"If you do this, the recipient will not be able to use the code and the credit will be given back to your account. Are you sure you want to continue?","If you do this, the recipient will not be able to use the code and the credit will be given back to your account. Are you sure you want to continue?"
Cancel,Cancel
Verify,Verify
"Please select product(s).","Please select product(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Credit products","Credit products"
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"Customer Credit Chart","Customer Credit Chart"
"Customer Credit Report","Customer Credit Report"
"Credit Transaction","Credit Transaction"
"Credit code %s has been used.","Credit code %s has been used."
"cancel share credit ","cancel share credit "
"Credit code has been canceled","Credit code has been canceled"
"My Credit","My Credit"
"Credit Products","Credit Products"
"Redeem Credit","Redeem Credit"
"Code is invalid. Please check again!","Code is invalid. Please check again!"
"redeem credit by code '","redeem credit by code '"
"Redeem success!","Redeem success!"
"Share Credit","Share Credit"
"Your credit amount not enough to share!","Your credit amount not enough to share!"
"Invalid email. Please check again!","Invalid email. Please check again!"
"Invalid amount. Please check again!","Invalid amount. Please check again!"
" sent "," sent "
" credit to "," credit to "
" received "," received "
" credit from "," credit from "
"Credit has been successfully sent to ","Credit has been successfully sent to "
"Invalid verify code. Please check again!","Invalid verify code. Please check again!"
