"Please correct the parent block for this block.","Please correct the parent block for this block."
"Request Qty: ","Request Qty: "
"Packed Qty: ","Packed Qty: "
"Qty moved to Pick / Prepare-Fulfil","Qty moved to Pick / Prepare-Fulfil"
"Custom Value","Custom Value"
"Pack Request Information","Pack Request Information"
package,package
"Step %1. Delivery Packages","Step %1. Delivery Packages"
"Package Information","Package Information"
pack_item,pack_item
"Step %1. Pack Items","Step %1. Pack Items"
"Products should be added to package(s)","Products should be added to package(s)"
"The value that you entered is not valid.","The value that you entered is not valid."
"We can\'t get the order instance right now.","We can\'t get the order instance right now."
"[Pack #%1]","[Pack #%1]"
Pack,Pack
"Move Items to Prepare Fulfil","Move Items to Prepare Fulfil"
"Move Items to Need-To-Pick","Move Items to Need-To-Pick"
"Print Packed Items","Print Packed Items"
pick_item,pick_item
"Step %1. Pick Items","Step %1. Pick Items"
"Items to pick","Items to pick"
"Scan item barcode here","Scan item barcode here"
"[Pick #%1]","[Pick #%1]"
"Mark as Picked","Mark as Picked"
"Mark All Items Picked","Mark All Items Picked"
"Print Picked Items","Print Picked Items"
Back,Back
"Warehouse To Pick","Warehouse To Pick"
"Pick Request Information","Pick Request Information"
"Fulfillment - Delivery Packages","Fulfillment - Delivery Packages"
"There are no shipping labels related to selected shipments.","There are no shipping labels related to selected shipments."
"Can not print package PDF","Can not print package PDF"
"Fulfillment Success","Fulfillment Success"
Packages,Packages
"This order no longer exists.","This order no longer exists."
"Fulfillment - Packing Requests","Fulfillment - Packing Requests"
"The remaining items in the packing request have been moved to Prepare-Fulfil.","The remaining items in the packing request have been moved to Prepare-Fulfil."
"We can\'t find the packing request to move.","We can\'t find the packing request to move."
"The remaining items in packing request have been moved to pick.","The remaining items in packing request have been moved to pick."
"The shipment has been created.","The shipment has been created."
"You created the shipping label.","You created the shipping label."
"An error occurred while creating shipping label.","An error occurred while creating shipping label."
"We can\'t save the dropship shipment right now.","We can\'t save the dropship shipment right now."
"Please enter qty to pack.","Please enter qty to pack."
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Please enter a tracking number."
"Packing has been created!","Packing has been created!"
"We can\'t create packing","We can\'t create packing"
"Can not create packing. Please try again!","Can not create packing. Please try again!"
"The packing has been created.","The packing has been created."
"Packing Requests","Packing Requests"
"%1 Picking Request(s) has been added to the batch","%1 Picking Request(s) has been added to the batch"
"There is no picking request added to the batch","There is no picking request added to the batch"
"The batch has been removed","The batch has been removed"
"Can not remove the batch","Can not remove the batch"
"Fulfillment - Picking Items","Fulfillment - Picking Items"
"The picking request for this order has been picked previously, can not pick it again","The picking request for this order has been picked previously, can not pick it again"
"The picking request does not exist","The picking request does not exist"
"Invalid Data","Invalid Data"
"The Request #%1 of Order #%2 has been marked as Picked, then moved to packing process.","The Request #%1 of Order #%2 has been marked as Picked, then moved to packing process."
"Find no picking request to move","Find no picking request to move"
"Order Picked Items","Order Picked Items"
"Picking Items","Picking Items"
"Remaining items in the picking request have been moved to Prepare-Fulfil.","Remaining items in the picking request have been moved to Prepare-Fulfil."
"The request #%1 has been picked previously, can not pick it again","The request #%1 has been picked previously, can not pick it again"
"The pick request #%1 does not exist","The pick request #%1 does not exist"
"The Pick Request #%1 of Order #%2 has been canceled. You should return all picked items to the Warehouse.","The Pick Request #%1 of Order #%2 has been canceled. You should return all picked items to the Warehouse."
"The Pick Request #%1 of Order #%2 has been picked successfully.","The Pick Request #%1 of Order #%2 has been picked successfully."
"The Pick Request #%1 does not exist.","The Pick Request #%1 does not exist."
"Barcode can not be empty","Barcode can not be empty"
"Picking List","Picking List"
"The batch does not exist","The batch does not exist"
"%1 Picking Request(s) has been removed from the batch","%1 Picking Request(s) has been removed from the batch"
"No Picking Request has been removed from the batch","No Picking Request has been removed from the batch"
"No batch is selected","No batch is selected"
"Fulfillment - Scan Picked Items","Fulfillment - Scan Picked Items"
Shipments,Shipments
Pending,Pending
"Partially Packed","Partially Packed"
Completed,Completed
Canceled,Canceled
"Select Warehouse","Select Warehouse"
"No Batch","No Batch"
"The Package with id ""%1"" does not exist.","The Package with id ""%1"" does not exist."
