"A coupon code has been used. You cannot apply gift codes with the coupon to get discount.","A coupon code has been used. You cannot apply gift codes with the coupon to get discount."
"You need to add your friend\'s address as the shipping address. We will send this gift card to that address.","You need to add your friend\'s address as the shipping address. We will send this gift card to that address."
"The gift code(s) has been used. You cannot apply a coupon code with gift codes to get discount.","The gift code(s) has been used. You cannot apply a coupon code with gift codes to get discount."
"Active when order is complete","Active when order is complete"
"There is not the Gift card template available.","There is not the Gift card template available."
"You didn\'t assign the Gift Card template to this product.","You didn\'t assign the Gift Card template to this product."
"Please enter Gift Card information.","Please enter Gift Card information."
"Please specify product\'s required option(s).","Please specify product\'s required option(s)."
Create,Create
Update,Update
"Mass update","Mass update"
"Spent on order","Spent on order"
Refund,Refund
Redeem,Redeem
Cancel,Cancel
"There is no available gift card history action","There is no available gift card history action"
Pending,Pending
Active,Active
Disabled,Disabled
Used,Used
Expired,Expired
Refunded,Refunded
"Not Send","Not Send"
"Sent via Email","Sent via Email"
"Send via Post Office","Send via Post Office"
"Gift Card with id ""%1"" does not exist.","Gift Card with id ""%1"" does not exist."
"Created by Api user","Created by Api user"
"Your Gift Card credit balance must be greater than 0.","Your Gift Card credit balance must be greater than 0."
"Invalid pattern","Invalid pattern"
Data_invalid,Data_invalid
"Gift Card Template with id ""%1"" does not exist.","Gift Card Template with id ""%1"" does not exist."
"Gift Card Code","Gift Card Code"
"-- Please Select --","-- Please Select --"
"Fixed value","Fixed value"
"Range of values","Range of values"
"Dropdown values","Dropdown values"
"Code 128","Code 128"
"QR code","QR code"
Physical,Physical
Virtual,Virtual
Combine,Combine
Enable,Enable
Disable,Disable
"Gift Card value","Gift Card value"
"Gift Card template","Gift Card template"
"Sender name","Sender name"
"Recipient name","Recipient name"
"Recipient email address","Recipient email address"
"Ship to recipient","Ship to recipient"
"Recipient address","Recipient address"
"Custom message","Custom message"
"Day to send","Day to send"
"Time zone","Time zone"
"Same as Gift Card Value","Same as Gift Card Value"
"Fixed Price","Fixed Price"
"Percent of Gift Card value","Percent of Gift Card value"
Left,Left
Top,Top
Center,Center
Enabled,Enabled
"Gift code is existed!","Gift code is existed!"
"Exceeded maximum retries to find available random gift card code!","Exceeded maximum retries to find available random gift card code!"
"Message max length cannot be greater than 240 characters.","Message max length cannot be greater than 240 characters."
"The gift code pattern is invalid! It was changed to the default gift code pattern.","The gift code pattern is invalid! It was changed to the default gift code pattern."
"Gift Card credit","Gift Card credit"
"Gift Card","Gift Card"
"Gift Card credit:","Gift Card credit:"
"Gift Card (%1):","Gift Card (%1):"
"Default Template 1","Default Template 1"
"Default Template 2","Default Template 2"
"Default Template 3","Default Template 3"
"Seperated by comma, e.g. 10,20,30","Seperated by comma, e.g. 10,20,30"
"Gift Card price is the same as Gift Card value by default.","Gift Card price is the same as Gift Card value by default."
Back,Back
"The Gift Card email has been failed to send.","The Gift Card email has been failed to send."
"The Gift Card email has been sent successfully.","The Gift Card email has been sent successfully."
"The Gift Card email cannot be sent to your friend!","The Gift Card email cannot be sent to your friend!"
"The maximum number of times to enter gift codes is %1!","The maximum number of times to enter gift codes is %1!"
"Gift card ""%1"" is invalid.","Gift card ""%1"" is invalid."
"You have %1 time(s) remaining to re-enter Gift Card code.","You have %1 time(s) remaining to re-enter Gift Card code."
"Gift code ""%1"" has usage conditions, you cannot redeem it to Gift Card credit","Gift code ""%1"" has usage conditions, you cannot redeem it to Gift Card credit"
"The gift code usage has exceeded the number of users allowed.","The gift code usage has exceeded the number of users allowed."
"%1 - The current balance of this gift code is 0.","%1 - The current balance of this gift code is 0."
"Gift code ""%1"" is not avaliable","Gift code ""%1"" is not avaliable"
"Redeem to Gift Card credit balance","Redeem to Gift Card credit balance"
"Redeemed by %1","Redeemed by %1"
"Gift card ""%1"" was successfully redeemed","Gift card ""%1"" was successfully redeemed"
"Image Saving Error!","Image Saving Error!"
"Check Gift Card Balance","Check Gift Card Balance"
"Gift card was successfully removed","Gift card was successfully removed"
"Gift code ""%1"" is invalid.","Gift code ""%1"" is invalid."
"This gift code has already existed in your list.","This gift code has already existed in your list."
"The gift code has been added to your list successfully.","The gift code has been added to your list successfully."
"Gift Code","Gift Code"
"Manage Gift Codes","Manage Gift Codes"
"Customer email is not valid","Customer email is not valid"
"Recipient email is not valid","Recipient email is not valid"
"Updated by %1","Updated by %1"
"Created by %1","Created by %1"
