Save,Save
Delete,Delete
"Save and Continue Edit","Save and Continue Edit"
"Edit Denomination '%1'","Edit Denomination '%1'"
"New Denomination","New Denomination"
"Denomination Information","Denomination Information"
"Denomination Name","Denomination Name"
"Denomination Value","Denomination Value"
"Sort Order","Sort Order"
"Edit Denomination %1","Edit Denomination %1"
"General Information","General Information"
Back,Back
Reset,Reset
"Force Sign-out","Force Sign-out"
"POS is still working in the session. Are you sure to force sign-out?","POS is still working in the session. Are you sure to force sign-out?"
"No POS available in this location.","No POS available in this location."
ID,ID
"POS Name","POS Name"
"Operating Status","Operating Status"
Action,Action
Details,Details
"There is no session in progress.","There is no session in progress."
"Denomination was successfully deleted","Denomination was successfully deleted"
"This denomination no longer exists.","This denomination no longer exists."
Denomination,Denomination
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"You saved the denomination","You saved the denomination"
"Add New Location","Add New Location"
"Edit %1","Edit %1"
Location,Location
"The operations failed. Some locations are still working. You can't delete them!","The operations failed. Some locations are still working. You can't delete them!"
"You saved the location.","You saved the location."
"Items deleted successfully!","Items deleted successfully!"
"This pos no longer exists.","This pos no longer exists."
"Add New POS","Add New POS"
"POS is still working in the session. Please close current session!","POS is still working in the session. Please close current session!"
POS,POS
"Manage Pos","Manage Pos"
"You saved the POS.","You saved the POS."
"Shift increment id is required","Shift increment id is required"
"Staff id is required","Staff id is required"
"Pos id is required","Pos id is required"
"Please close your session before opening a new one","Please close your session before opening a new one"
"This session no longer exists.","This session no longer exists."
"Please choose one session first","Please choose one session first"
Partial,Partial
Full,Full
"Cash ( For Web POS only)","Cash ( For Web POS only)"
"Web POS - Cash On Delivery","Web POS - Cash On Delivery"
"Web POS - Split Payments","Web POS - Split Payments"
"Choose an Option...","Choose an Option..."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Invalid product data: %1"
"Database connection error","Database connection error"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to save product","Unable to save product"
"Invalid Coupon Code","Invalid Coupon Code"
"Session with id ""%1"" does not exist.","Session with id ""%1"" does not exist."
"Unable to save denomination","Unable to save denomination"
"Please enter or select a gift code","Please enter or select a gift code"
"Gift code ""%1"" limits the number of users","Gift code ""%1"" limits the number of users"
"You can’t use this gift code ""%1"" since its conditions haven’t been met.","You can’t use this gift code ""%1"" since its conditions haven’t been met."
"Gift Card ""%1"" is no longer available to use","Gift Card ""%1"" is no longer available to use"
"Gift code ""%1"" does not exist","Gift code ""%1"" does not exist"
"Please select a customer first.","Please select a customer first."
"Customer does not exist","Customer does not exist"
"Product does not exist!","Product does not exist!"
"You did not select location","You did not select location"
"Location with id ""%1"" does not exist.","Location with id ""%1"" does not exist."
"Staff does not exist.","Staff does not exist."
"Unable to save category deleted","Unable to save category deleted"
"Unable to delete category deleted","Unable to delete category deleted"
"Category with id ""%1"" does not exist.","Category with id ""%1"" does not exist."
"Unable to save customer deleted","Unable to save customer deleted"
"Unable to delete customer deleted","Unable to delete customer deleted"
"Customer with id ""%1"" does not exist.","Customer with id ""%1"" does not exist."
"Unable to save order deleted","Unable to save order deleted"
"Unable to delete order deleted","Unable to delete order deleted"
"Order with id ""%1"" does not exist.","Order with id ""%1"" does not exist."
"Unable to delete product deleted","Unable to delete product deleted"
"No linked stock found","No linked stock found"
"Unable to save pos","Unable to save pos"
"Pos with id ""%1"" does not exist.","Pos with id ""%1"" does not exist."
"The operations failed. Some POS are still working. You can't delete them!","The operations failed. Some POS are still working. You can't delete them!"
"Pos with id ","Pos with id "
" does not exist."," does not exist."
"The session does not exist.","The session does not exist."
"There are some problem when save session!","There are some problem when save session!"
"Invalid state change requested","Invalid state change requested"
"The credit memo's total must be positive.","The credit memo's total must be positive."
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"Refund order #%1","Refund order #%1"
Yes,Yes
No,No
"The invoice is not exist.","The invoice is not exist."
"Unable to save the invoice.","Unable to save the invoice."
"Order is not found.","Order is not found."
"Id required","Id required"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Can not send email","Can not send email"
"Cannot add order comment","Cannot add order comment"
"Cannot cancel order","Cannot cancel order"
"Can't unhold order.","Can't unhold order."
"Cannot delete order","Cannot delete order"
"Cancel order #","Cancel order #"
"Check out by credit for order #","Check out by credit for order #"
Default,Default
Blue,Blue
Green,Green
Orange,Orange
Red,Red
"Excluding FPT","Excluding FPT"
"Including FPT","Including FPT"
"All groups","All groups"
"Please select a payment","Please select a payment"
"All Allowed Payments","All Allowed Payments"
"Specific Payments","Specific Payments"
"All Allowed Shipping","All Allowed Shipping"
"Specific Shipping","Specific Shipping"
"Last 24 hours","Last 24 hours"
"Last 7 days","Last 7 days"
"Current month","Current month"
YTD,YTD
2YTD,2YTD
Enabled,Enabled
Disabled,Disabled
"--Please Select--","--Please Select--"
"1 min","1 min"
"5 mins","5 mins"
