"Connection failed. Please contact admin to check the configuration of API.","Connection failed. Please contact admin to check the configuration of API."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Payment for POS","Payment for POS"
"Transaction is failed","Transaction is failed"
"Authorizenet SDK not found, please go to the configuration to get the instruction to install the SDK","Authorizenet SDK not found, please go to the configuration to get the instruction to install the SDK"
"Authorizenet application client id and client secret are required","Authorizenet application client id and client secret are required"
"Authorizenet integration is disabled","Authorizenet integration is disabled"
"Installation guide","Installation guide"
"Install the Authorizenet REST SDK","Install the Authorizenet REST SDK"
"If you can access to your server via SSH:","If you can access to your server via SSH:"
"Use cd command to your Magento root folder. After that, enter the command:","Use cd command to your Magento root folder. After that, enter the command:"
"View detail","View detail"
"Test the API connection","Test the API connection"
"After install the SDK and save all the API information, you can click the button below to test the connection","After install the SDK and save all the API information, you can click the button below to test the connection"
"Test API connection","Test API connection"
Success,Success
Error,Error
"Please check your network connection","Please check your network connection"
Authorize.net,Authorize.net
Enabled,Enabled
Title,Title
"API Login ID","API Login ID"
"Transaction Key","Transaction Key"
"Client ID","Client ID"
"Payment Action","Payment Action"
"Sandbox Mode","Sandbox Mode"
"Sort Order","Sort Order"
Guide,Guide
"Setup guide","Setup guide"
